               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12322,            0.017465,                   0,           0.0016667,             0.33333,           0.0034407,          0.00068814,            0.086428,            0.010801,                   0,                 0.1,                   0,                   0
                   1,             0.12303,             0.01341,                   0,           0.0016667,             0.33333,           0.0020824,          0.00020824,            0.082359,            0.011759,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.12388,            0.015389,                   0,           0.0016667,             0.33333,           0.0037739,          0.00037739,            0.081994,            0.011805,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.12686,            0.014621,                   0,           0.0016667,             0.33333,           0.0037739,          0.00037739,            0.081678,            0.011865,                   0,            0.097298,          0.00029822,          0.00029822
                   4,             0.12598,            0.013551,                   0,           0.0016667,             0.33333,           0.0018265,           0.0003653,            0.081398,            0.011905,                   0,            0.096397,          0.00039683,          0.00039683
                   5,              0.1197,            0.016139,                   0,           0.0016667,             0.33333,           0.0039028,          0.00039028,            0.081162,             0.01195,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.12452,            0.014458,                   0,           0.0033333,             0.66667,            0.013474,           0.0013474,            0.080864,            0.012006,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.12189,            0.015866,                   0,             0.01936,             0.66667,             0.34223,            0.034713,            0.079985,            0.012189,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.12763,            0.012465,                   0,               0.005,                   1,            0.021385,           0.0031669,            0.079132,            0.012383,                   0,            0.092787,          0.00078733,          0.00078733
                   9,              0.1271,             0.01268,                   0,           0.0033333,             0.66667,            0.061016,           0.0088893,            0.078479,            0.012512,                   0,            0.091884,          0.00088396,          0.00088396
                  10,              0.1181,            0.016236,                   0,               0.005,                   1,            0.051271,            0.010109,            0.077752,             0.01263,                   0,             0.09098,           0.0009802,           0.0009802
                  11,             0.11849,            0.017345,                   0,            0.068188,             0.66667,             0.36426,            0.040076,            0.077255,             0.01269,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.11857,            0.015012,                   0,               0.005,                   1,            0.050679,           0.0062399,            0.076369,            0.012875,                   0,            0.089171,           0.0011715,           0.0011715
                  13,             0.11612,             0.01522,                   0,            0.082595,             0.66667,             0.40151,            0.043252,            0.075295,            0.013104,                   0,            0.088267,           0.0012665,           0.0012665
                  14,             0.11029,            0.017845,                   0,            0.047064,             0.66667,             0.43646,            0.085452,            0.074788,            0.013124,                   0,            0.087361,           0.0013612,           0.0013612
                  15,             0.10775,            0.017809,                   0,               0.005,                   1,             0.05094,           0.0057269,            0.074218,            0.013124,                   0,            0.086455,           0.0014555,           0.0014555
                  16,             0.10896,            0.023186,                   0,               0.005,                   1,            0.063109,           0.0068661,              0.0736,            0.013163,                   0,            0.085549,           0.0015493,           0.0015493
                  17,             0.10437,             0.01812,                   0,               0.005,                   1,            0.063109,           0.0068661,              0.0736,            0.013163,                   0,            0.084643,           0.0016428,           0.0016428
                  18,             0.10113,            0.016319,                   0,               0.005,                   1,            0.090163,            0.011727,            0.072649,            0.013225,                   0,            0.083736,           0.0017358,           0.0017358
                  19,             0.10454,            0.020672,                   0,               0.005,                   1,            0.090163,            0.011727,            0.072649,            0.013225,                   0,            0.082829,           0.0018285,           0.0018285
                  20,             0.10547,            0.018242,                   0,               0.005,                   1,             0.06888,            0.014078,            0.071328,            0.013471,                   0,            0.081921,           0.0019208,           0.0019208
