               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12322,            0.017465,                   0,           0.0016667,             0.33333,           0.0034407,          0.00068814,            0.086428,            0.010801,                   0,                 0.1,                   0,                   0
                   1,             0.12303,             0.01341,                   0,           0.0016667,             0.33333,           0.0020824,          0.00020824,             0.08236,            0.011759,                   0,            0.099098,           9.802e-05,           9.802e-05
                   2,             0.12388,            0.015388,                   0,           0.0016667,             0.33333,           0.0037739,          0.00037739,            0.081995,            0.011804,                   0,            0.098192,          0.00019208,          0.00019208
                   3,             0.12686,             0.01462,                   0,           0.0016667,             0.33333,           0.0037739,          0.00037739,             0.08168,            0.011865,                   0,            0.097282,          0.00028218,          0.00028218
                   4,               0.126,            0.013547,                   0,           0.0016667,             0.33333,           0.0018314,          0.00036628,            0.081412,            0.011903,                   0,            0.096368,          0.00036832,          0.00036832
                   5,             0.11973,            0.016133,                   0,           0.0016667,             0.33333,           0.0038696,          0.00038696,            0.081195,            0.011943,                   0,            0.095451,           0.0004505,           0.0004505
                   6,             0.12458,            0.014444,                   0,           0.0033333,             0.66667,              0.0136,             0.00136,            0.080927,            0.011994,                   0,            0.094529,          0.00052872,          0.00052872
                   7,             0.12207,             0.01583,                   0,           0.0033333,             0.66667,            0.013995,           0.0018899,            0.080081,             0.01217,                   0,            0.093603,          0.00060298,          0.00060298
                   8,             0.12773,            0.012451,                   0,               0.005,                   1,            0.016098,           0.0021058,            0.079284,            0.012355,                   0,            0.092673,          0.00067328,          0.00067328
                   9,             0.12765,            0.012644,                   0,               0.005,                   1,            0.059818,           0.0079521,            0.078687,            0.012483,                   0,             0.09174,          0.00073962,          0.00073962
                  10,             0.11854,            0.016134,                   0,               0.005,                   1,            0.053142,           0.0087747,            0.077974,            0.012618,                   0,            0.090802,            0.000802,            0.000802
                  11,             0.11897,            0.017206,                   0,               0.005,                   1,            0.053162,           0.0066599,            0.077545,            0.012685,                   0,             0.08986,          0.00086042,          0.00086042
                  12,             0.11975,            0.014846,                   0,               0.005,                   1,            0.055187,           0.0068148,            0.076748,            0.012847,                   0,            0.088915,          0.00091488,          0.00091488
                  13,              0.1179,            0.015026,                   0,               0.005,                   1,            0.059466,            0.011323,            0.075813,            0.013033,                   0,            0.087965,          0.00096538,          0.00096538
                  14,              0.1127,            0.017474,                   0,            0.094015,             0.66667,             0.40735,            0.075126,            0.075185,            0.013133,                   0,            0.087012,           0.0010119,           0.0010119
                  15,             0.10935,            0.017412,                   0,             0.08461,             0.66667,             0.40764,            0.079397,             0.07462,            0.013212,                   0,            0.086055,           0.0010545,           0.0010545
                  16,             0.11082,              0.0226,                   0,            0.059662,             0.66667,              0.4154,            0.080597,            0.074168,             0.01326,                   0,            0.085093,           0.0010931,           0.0010931
                  17,             0.10767,            0.017459,                   0,            0.059662,             0.66667,              0.4154,            0.080597,            0.074168,             0.01326,                   0,            0.084128,           0.0011278,           0.0011278
                  18,             0.10136,            0.016124,                   0,            0.072797,             0.66667,             0.41638,            0.082528,            0.073728,            0.013296,                   0,            0.083158,           0.0011585,           0.0011585
                  19,             0.11019,            0.019805,                   0,            0.072797,             0.66667,             0.41638,            0.082528,            0.073728,            0.013296,                   0,            0.082185,           0.0011852,           0.0011852
                  20,             0.11191,            0.017153,                   0,            0.090312,             0.66667,              0.2582,            0.034118,            0.073173,            0.013365,                   0,            0.081208,            0.001208,            0.001208
                  21,             0.10408,            0.016374,                   0,            0.090312,             0.66667,              0.2582,            0.034118,            0.073173,            0.013365,                   0,            0.080227,           0.0012268,           0.0012268
                  22,             0.10687,            0.024586,                   0,            0.050469,                   1,             0.22702,            0.034514,            0.072146,            0.013501,                   0,            0.079242,           0.0012417,           0.0012417
                  23,             0.10844,            0.021447,                   0,            0.050469,                   1,             0.22702,            0.034514,            0.072146,            0.013501,                   0,            0.078253,           0.0012526,           0.0012526
                  24,             0.10287,            0.020782,                   0,            0.092633,             0.66667,               0.212,            0.034127,            0.071022,            0.013652,                   0,             0.07726,           0.0012595,           0.0012595
                  25,             0.10098,            0.017242,                   0,            0.092633,             0.66667,               0.212,            0.034127,            0.071022,            0.013652,                   0,            0.076263,           0.0012625,           0.0012625
                  26,             0.10074,             0.02406,                   0,             0.10899,             0.66667,             0.24319,            0.043582,            0.069542,            0.013965,                   0,            0.075262,           0.0012615,           0.0012615
                  27,             0.10611,               0.016,                   0,             0.10899,             0.66667,             0.24319,            0.043582,            0.069542,            0.013965,                   0,            0.074257,           0.0012566,           0.0012566
                  28,             0.10148,            0.017679,                   0,           0.0089075,                   1,            0.083125,            0.023282,            0.068829,            0.014077,                   0,            0.073248,           0.0012477,           0.0012477
                  29,             0.11191,            0.014704,                   0,           0.0089075,                   1,            0.083125,            0.023282,            0.068829,            0.014077,                   0,            0.072235,           0.0012348,           0.0012348
                  30,            0.092706,            0.020614,                   0,           0.0033333,             0.66667,            0.028859,             0.01163,            0.066918,            0.014935,                   0,            0.071218,            0.001218,            0.001218
                  31,            0.096672,            0.026379,                   0,           0.0033333,             0.66667,            0.028859,             0.01163,            0.066918,            0.014935,                   0,            0.070197,           0.0011972,           0.0011972
                  32,             0.09986,            0.021483,                   0,               0.005,                   1,            0.028258,           0.0094985,            0.064733,            0.015379,                   0,            0.069172,           0.0011725,           0.0011725
                  33,            0.094305,            0.022496,                   0,               0.005,                   1,            0.028258,           0.0094985,            0.064733,            0.015379,                   0,            0.068144,           0.0011438,           0.0011438
                  34,            0.098985,            0.021185,                   0,            0.011537,                   1,             0.08173,            0.022784,            0.063465,            0.015685,                   0,            0.067111,           0.0011111,           0.0011111
                  35,            0.093461,            0.020222,                   0,            0.011537,                   1,             0.08173,            0.022784,            0.063465,            0.015685,                   0,            0.066075,           0.0010745,           0.0010745
                  36,              0.0999,            0.017845,                   0,               0.005,                   1,            0.053088,            0.018374,             0.06364,            0.015684,                   0,            0.065034,           0.0010339,           0.0010339
                  37,            0.091571,             0.01823,                   0,               0.005,                   1,            0.053088,            0.018374,             0.06364,            0.015684,                   0,            0.063989,          0.00098938,          0.00098938
                  38,            0.090677,            0.025813,                   0,               0.005,                   1,            0.031637,            0.010447,            0.063775,            0.015679,                   0,            0.062941,          0.00094088,          0.00094088
                  39,            0.099604,            0.019804,                   0,               0.005,                   1,            0.031637,            0.010447,            0.063775,            0.015679,                   0,            0.061888,          0.00088842,          0.00088842
                  40,            0.087869,            0.021895,                   0,               0.005,                   1,            0.051507,            0.014551,            0.063038,            0.015837,                   0,            0.060832,            0.000832,            0.000832
                  41,             0.10072,            0.018514,                   0,               0.005,                   1,            0.051507,            0.014551,            0.063038,            0.015837,                   0,            0.059772,          0.00077162,          0.00077162
                  42,            0.092438,            0.026837,                   0,               0.005,                   1,            0.049503,            0.014845,            0.062447,            0.015986,                   0,            0.058707,          0.00070728,          0.00070728
                  43,            0.089444,            0.021891,                   0,               0.005,                   1,            0.049503,            0.014845,            0.062447,            0.015986,                   0,            0.057639,          0.00063898,          0.00063898
                  44,            0.097724,            0.024785,                   0,               0.005,                   1,              0.0995,            0.019606,            0.062195,            0.016027,                   0,            0.056567,          0.00056672,          0.00056672
                  45,            0.088106,            0.021473,                   0,               0.005,                   1,              0.0995,            0.019606,            0.062195,            0.016027,                   0,             0.05549,           0.0004905,           0.0004905
                  46,            0.091595,            0.022609,                   0,               0.005,                   1,            0.064958,            0.013413,             0.06208,            0.016031,                   0,             0.05441,          0.00041032,          0.00041032
                  47,            0.086362,            0.029348,                   0,               0.005,                   1,            0.064958,            0.013413,             0.06208,            0.016031,                   0,            0.053326,          0.00032618,          0.00032618
                  48,            0.095092,            0.024649,                   0,               0.005,                   1,            0.071071,            0.013657,            0.062118,            0.016018,                   0,            0.052238,          0.00023808,          0.00023808
                  49,            0.089477,            0.025491,                   0,               0.005,                   1,            0.071071,            0.013657,            0.062118,            0.016018,                   0,            0.051146,          0.00014602,          0.00014602
